Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,813.373801291643,581.374748988005,762.287986301806,786.071045181397,824.373550389848,823.101982045081,817.176548362341,761.957268109783,810.006337207976,780.738623945557,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,874.398446212665,873.657787057718,1414.49702064392,1371.20207705232,1380.3468180174,1442.30211193457,1463.50985736009,1372.00040514264,1451.44517709293,1500.3461132579,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,506.098906826107,428.222669261961,517.525209417242,462.934994006148,456.692217487614,405.179753107747,416.996507156148,397.633186643914,418.358996013843,423.122517600564,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,1567.0489962896,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,1351.48277612519,1643.32131961789,1919.75859208058,1889.87018853289,1874.82963739464,1806.77623499039,1777.41507710553,1624.17555252173,1741.65240212881,1808.99849167635,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,2170.25904717637,625.503227341883,1084.52062940136,1043.09797203416,1105.96696981707,1072.33682481147,1163.09284675689,1233.30455891532,1271.52805556324,1347.59055747413,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Australia,AUS,5047.63880316716,5681.22885913159,5318.66679266228,5216.98867184459,5323.92858334601,5282.20664251934,5295.87164421938,5229.062652917,5070.76722733807,4889.62127856192,5077.04278018472,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Austria,AUT,3240.45366951149,3570.94853169443,3795.51037374619,3797.16802222945,3839.94805232106,3717.62532112148,3765.98011899602,3546.32771195638,3726.61916635312,3465.29053401054,3324.72669124046,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Azerbaijan,AZE,3158.92272825814,1403.59874667104,1510.91856857889,1480.9342834589,1478.78418442924,1471.37027563956,1594.11077298348,1542.52180985426,1630.73477502983,1720.31588810935,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Bahamas, The",BHS,2338.57233506677,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bahrain,BHR,10576.1375209895,12833.272118279,10405.6390717453,9878.66504979139,9444.4239393348,9533.85538285247,10388.189018559,10832.91852134,10666.0574068433,10701.7927575092,0,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bangladesh,BGD,114.23933585512,135.945727032601,237.713163558492,255.923548835134,260.880286120411,257.873889464682,273.340023331257,272.076572071717,292.487219529267,297.118356342706,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Barbados,BRB,1245.20778708495,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belarus,BLR,4457.4379398096,2471.64424935802,2660.14026759548,2639.09486268036,2692.58344898873,2849.29477344053,2748.96883661007,2673.86548599188,2929.27533668037,2862.48703453706,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belgium,BEL,4804.34618527299,5662.98174716427,4661.53453241131,4904.12819808335,4863.48372195372,4660.13377266864,4773.932613509,4358.9412773027,4793.0468713018,4333.0426748,3997.42195773972,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belize,BLZ,580.1852782451,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Benin,BEN,314.609436799463,274.581436432907,379.492026672934,409.038821084068,412.304352119196,423.283323822533,414.543641080217,426.185478700943,376.055295296953,375.820983649337,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bhutan,BTN,94.9875832998183,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bolivia,BOL,360.663520476773,424.497392990293,748.85994552389,778.965230116872,800.888183667631,803.127890554365,795.54274549867,657.745469205531,757.863166521587,798.293220052314,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bosnia and Herzegovina,BIH,1577.4833806624,1044.83032752066,1755.04377103361,1945.25475764264,1966.74296405564,2205.40019359849,2157.71633026544,2152.73018925591,2267.26088940872,2270.72637629896,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Botswana,BWA,933.106112523037,1070.36119676312,1308.13445233238,1245.11570542658,1280.40747267283,1343.69847257232,1241.6779321074,1119.82959014247,1142.89798614093,1165.14968696121,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brazil,BRA,942.317182249676,1081.36193393467,1477.71135638764,1411.50090973164,1428.63671291905,1400.2173612336,1412.60729823853,1375.83163242979,1426.92356611297,1428.99253421834,1477.28505055306,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brunei Darussalam,BRN,6766.20265813163,7306.50805505588,6437.00247398227,7008.28171997556,8385.25858976533,8304.04242825767,9219.80339333238,9175.89257228992,8962.62325631033,9537.0515607056,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bulgaria,BGR,3216.95690387597,2276.85216577279,2566.46526638593,2521.31461755681,2627.07813312518,2640.81252169616,2628.47684344995,2517.25256562329,2760.96448580193,2888.48505138988,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burkina Faso,BFA,172.693031083803,122.87633161526,279.219982120516,271.615575346763,285.313799439353,299.913437292717,302.330693379864,263.88298802906,303.171853475007,312.929085804227,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cabo Verde,CPV,77.3680226301714,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cambodia,KHM,..,273.111060087066,379.745573981888,412.747652430932,418.953616262105,440.94962587052,489.36782496618,516.116717657277,501.330977178892,501.644136152087,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cameroon,CMR,439.606062625838,425.839473286279,402.983607731397,400.082970120892,392.776292653391,392.392157002433,387.419411707774,386.883842275205,385.081685358061,384.104863153688,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Canada,CAN,7639.18628177217,8220.75720503648,7681.96398709014,7936.49539040876,8166.27117203823,8158.32963620489,8116.53873744093,7485.62249555932,7601.81611143617,7631.68862982975,7415.78101506054,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
