Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Albania,ALB,552.252184819181,1449.64741324695,2098.09897098035,1994.36667905612,2145.15129337241,2276.74247900485,2297.67384172958,2354.60026238182,2509.89982451685,2507.48013906524,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Algeria,DZA,539.608390825751,686.353657773796,1438.57265286655,1470.35348531547,1554.49963310729,1568.47300560981,1651.17795668766,1591.97709300405,1681.48239613152,1756.58721304339,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Angola,AGO,54.1872090662942,76.1969732512193,306.167406982606,331.664900231538,315.199297075801,370.736573340292,410.864566288621,437.653350565236,392.355834569297,392.507046928459,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Argentina,ARG,1306.11580490489,2091.79431043986,3140.46420669387,3104.98925144338,3005.76483124641,2971.34364838317,2876.71852724712,2827.42739776861,2942.91077511635,2833.11909750338,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Armenia,ARM,2711.89551727866,1236.53410325665,1909.40557811356,1889.85061658256,2006.10861247231,1938.69989895588,2084.05063291139,2114.13135235523,2262.09364345272,2403.67775831874,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Australia,AUS,8527.21409414567,10260.4462435418,10091.7051754504,10139.0989597868,10033.9988617709,9999.89664810579,9988.77987162809,9903.01937896971,9848.54749458564,9933.15278973003,9829.34510394034,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Austria,AUT,6111.47652011957,7076.26948339438,8318.46625689498,8255.77897660756,8458.13489776604,8396.45084265961,8339.93999945946,8025.46724947246,8381.61025757953,8260.47675415134,7772.32343246828,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Azerbaijan,AZE,2569.82383766306,2040.4790895311,2244.92014532391,2215.66064195539,2120.55307710051,2182.74646367607,2243.85125599507,2257.18090568814,2389.09028137407,2365.86247983091,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bahrain,BHR,15048.6502446595,20863.1987728637,20288.6620808832,19531.1457401213,18552.197165309,19439.9407620696,21808.1679197927,21437.2464685601,21913.5648595919,22689.1577517572,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bangladesh,BGD,46.0076053904037,99.2535514546941,348.932681283763,412.780315331328,443.212945924414,471.126089137386,515.10173042395,509.945926958218,574.118203146015,602.674747324137,..,..
